Name,Address,,State,City,Phone,Email,PPN
Bhagat Hospital,D2  48-49  Janakpuri   New Delhi- 110058.,,Delhi,New Delhi,45102030,bhtpa68@gmail.com,Yes
Bhagat Multispeciality Hospital,CIVIL LANE,,Maharashtra,Nagpur,,,No
Bhagat Nursing Home (Sun Superspecailty Hospital),Ganesh Nivas  2nd Floor  Pai Nagar  Borivili(West),,Maharashtra,Mumbai,022- 28954388 / 28941143,SSHBHAGATHOSPITAL@GMAIL.COM,Yes
Bhagawati Netralaya,MANIK CHOWK CHAKAN SIDDI ARCADE,,Maharashtra,Pune,300554,bhagawatinetra@rediffmail.com,Yes
"Bhagirathi Neotia Woman & Child Care Centre, New Town",Premises no. 27  Street no. 327  DG Block  Action Area ID,,West Bengal,Kolkata,33235000,corporate.bnwcccnt@neotiahealthcare.com,Yes
Bhagwan  Hospital,O.T. SECTION MAIN ROAD,,Maharashtra,Thane,025-12521073,,No
Bhagwan Mahaveer Cancer Hospital And Research Centre,Jln Marg  Near Saras Dairy,,Rajasthan,Jaipur,0141 - 2700107 / 2702106 / 2702899,bmchrc2011@gmail.com,Yes
Bhagwan Mahaveer Darshan Eye Hospital,Opp:K.R.Mill,,Karnataka,Mysore,0821 - 3202129,bhagwanmahaveerjaineyehospital@gmail.com,No
Bhagwan Mahaveer Eye Hospital,No. 142  M.S.Koil St  Royapuram,,Tamil Nadu,Chennai,044 - 25973504 / 25957750,bmeh2004@gmail.com,No
Bhagwan Mahaveer Jain Hospital,NO 1.2  BANASHANKARI 3RD PHASE AVALAHALLI  BDA 2ND LAYOUT DEEPANJALI NAGARA,,Karnataka,Bengaluru,26423988,corporate@bmjh.org,Yes
Bhagwan Mahaveer Jain Hospital,17  Millers Road  Vasanthnagar,,Karnataka,Bengaluru,080 - 22261153 / 40875555 / 41100550 / 41100552 /,corporate@bmjh.org,Yes
Bhagwan Mahavir Hospital,SECTOR-14 EXTN.  NEAR MADHUBAN CHOWK  ROHINI,,Delhi,New Delhi,011-27550441/5,TPADESK.BMH@GMAIL.COM,Yes
Bhagwan Mahavir Medica Superspecialty Hospital,In Front Of Phed Colony  Bariatu Road  Near Booty More,,Jharkhand,Ranchi,6606000,tpadesk.bmmsh@medicasynergie.in,No
Bhagwati Eye Hospital,NEW RING ROAD  NEAR CITY CENTER MALL ,,,,,,
UNTWADI BRIDGE ,Maharashtra,,Nashik,777 506060,AJITKHUNE@GMAIL.COM,No,
Bhagwati Healthcare Pvt Ltd,Plot No.2  Rameshwadi  Kulgaon Badlapur Road  Badlapur (W)  Thane,,Maharashtra,Thane,0251 - 2670726 / 2671787,bhagwatihospital100@yahoo.com,Yes
Bhagwati Hospital,Cs/Ocf - 6 Near Popular Apartment Sector - 13 Rohini - 110085,,Delhi,New Delhi,011 - 43126000 / 43126100,bhagwatihospitalr13@gmail.com,Yes
Bhagwati Hospital,325  Chaomandi,,Uttarakhand,Roorkee,01332 - 269904 / 269088,bhagwatihosp@yahoo.co.in,No
Bhagwati Orthopaedic Hospital,67  Digvijay Plot  Jamnagar,,Gujarat,Jamnagar,2560500,DRMEHULORTHO@GMAIL.COM,No
Bhagyajaya Hosptial,Indapur Road  Opp Market Yard  Baramati,,Maharashtra,Baramati,223313,SRWABLE@REDIFFMAIL.COM,No
Bhagyalakshmi Fertility And Laparoscopic Centre,16-4-316 gandhi nagar near sunday market pogathota nellore,,Andhra Pradesh,Nellore,,,No
Bhagyoday General Hospital,STATION ROAD  KADI  MEHSANA,,Gujarat,Kadi,262555,BGHKADI@GMAIL.COM,Yes
Bhailal Amin General Hospital,Bhailal Amin Marg   Gorwa,,Gujarat,Vadodara,0265 - 2285555 / 2282255,contact@baghospital.com,No
Bhairav Care And Cure Hospital,Shop no 5 6 7 8 Jagannath dham ,,Maharashtra,Thane,8879740001,BHAIRAVCAREANDCURE21@GMAIL.COM,No
Bhairawanth Hospital,Nagapur  MIDC  Tal. & Dist- Ahmednagar,,Maharashtra,Ahmednagar,"241-2777481,2777630",,No
Bhakti Hospital,Sanaswadi  Pune Nagar Highway,,Maharashtra,Sanaswadi,253006,BHAKTIHOSPITALPUNE@GMAIL.COM,No
Bhakti Vedanta Hospital,Sec-1 Srishti Complex  Mira Road (East),,Maharashtra,Thane,022 - 29452400,backuppreauthbh@gmail.com,Yes
Bhalanetra Superspeciality Eye Hospital,Commercial Unit 5-8  Sachdeva Complex  Jangal Mangal Road  Opp Old Post Office  Bhandup West,,Maharashtra,Mumbai,9994137286,DRINDEEVARMISHRA@GMAIL.COM,Yes
Bhanavi Hospital,P2  Jcst Anikethana Road E & F Block Kuvempunagar,,Karnataka,Mysore,821-2545454/ 56,prashanth.admin@bhanavihospital.com,No
"Bhandare Hospital (No cashless for OIC, NIC, and UIIC insurers)",Ring Road No.-5 Near S. T. Station,,Maharashtra,Baramati,226768,BHANDAREHOSPITAL@GMAIL.COM,No
Bhandari Ear Nose And Throat Hospital,Dhab Khatikan,,Punjab,Amritsar,9417491103,,Yes
Bhandari Hospital,21  22   23  G.F Scheme No. 54  Near Megduth Garden  Vijay Nagar  Indore,,Madhya Pradesh,Indore,0731 - 4733260,bhrc.cashless@gmail.com,Yes
Bhandari Hospital,23/3 PARDESHIPURA INDORE,,Madhya Pradesh,Indore,2551850,,No
Bhandari Hospital And Research Centre,138 A  Vasundhara Colony  Tonk Road   Gopalpura By Pass  Jaipur,,Rajasthan,Jaipur,0141 - 2703851 / 2703852 / 2705122,contact@bhandarihospital.net,Yes
Bhandup Criticare Hospital,First Floor Sahjeevan Heights  Beside DMK Jaoli Bank,,Maharashtra,Mumbai,25953232,BHANDUPCRITICAREHOSPITAL@GMAIL.COM,Yes
Bhangoo Hospital,RAILWAY ROAD DORAHA,,Punjab,Ludhiana,257104,bhangoo75@yahoo.com,No
Bhanujyot Hospital Pvt Ltd,Khushi heights 1st floor pune link road opp nitinraj hotel katemanivali kalyan east,,Maharashtra,Thane,,,Yes
Bharani Hospital,BANGALORE ROAD  MALUR.,,Karnataka,Kolar,9141655766,KAVITHAANU123@GMAIL.COM,No
Bharani Paventhan Multi Speciality Hospital,#74 Sambath Nagar Erode,,Tamil Nadu,Erode,424-6450777,bharanihospital.erode@gmail.com,No
Bharat Hospital & Research Centre,KD-19 City Centre Sector 4 Bokaro Steel city,,Jharkhand,Bokaro,0,,No
Bharat Multispecility Hospital,DABRA CHOWK  HISAR,,Haryana,Hisar,8862820000,BHARATHOSPITALHISAR.DRMEENAKSHI@GMAIL.COM,No
Bharath Hospital,72  1st main road  Nanganallur,,Tamil Nadu,Chennai,0,,Yes
Bharath Hospital And Institute Of Oncology,No. 438  Outer Ring Road  Hebbal Industrial Area  The Ring Rd  Hebbal 1st Stage  Mysuru,,Karnataka,Mysore,0821 - 4280286,bharath.hospital@yahoo.co.in,No
Bharath Nursing Home,# 1402  Sarakki Gate  J A Nagar 1st Phase,,Karnataka,Bengaluru,080 - 26539923 / 26911856,info@bharathNursinghome.com,No
Bharath Rural Hospital And Training Centre,Moothakunnam P.O  North Paravur-683516  Ernakulam  Kerala State,,Kerala,Ernakulam-Cochin,0484 - 2482863,bharathruralhospital@gmail.com,No
Bharathi Hospital,No:115  Alagar Kovil Road  K.Pudur  Madurai-625007,,Tamil Nadu,Madurai,4250785/2560709,BHARATHIHOSPITAL2013@GMAIL.COM,No
Bharathi Hospital,2nd Cross  Opp Neps  Near Bhadramma Chowltry  Shankara Puram,,Karnataka,Tumkur,9886142411/2254435,SHANTHKUMAR_PN@YAHOO.CO.IN,No
Bharathi Hospital,592/2 SRIRENGAPALAYAM,,Tamil Nadu,Rajapalayam,226666,BH112007@YAHOO.COM,No
Bharathi Hospital,Gandhi Nagar  Railway Station Road  Yarramukkapalli  Kadapa,,Andhra Pradesh,Kadapa,08562 - 257089,bharathihospitals123@gmail.com,No
Bharathi Hospital,Door No 14-24-1  Mens Hostel Road  Maharanipeta  Visakhapatnam,,Andhra Pradesh,Visakhapatnam,0891 - 2526500 / 2526501 / 2526502,bharogyam@gmail.com,No
Bharathi Nursing Home,SUNDARAIAH BHAVAN STREET,,Andhra Pradesh,Ongole,233440,,No
Bharathi Rajaa Speciality Hospital,#20  G.N. Chetty Road  T. Nagar,,Tamil Nadu,Chennai,044 - 28345300 / 30113011,brshinsurance@gmail.com,Yes
Bharathy Hospital,# 4  Prasanthnagar,,Karnataka,Bengaluru,080 - 23485759,bharathy.hospital@yahoo.com,Yes
Bharati Hospital And Research Centre,KATRAJ -DHANKAWADI,,Maharashtra,Pune,020-40555555,bhrc.mediclaim@bharatihospital.com,Yes
Bhardwaj Hospital,Nit- 1  Sec-29  Opp. Ganga Complex,,Uttar Pradesh,Noida,0120 - 2450111 / 222 / 333 / 9811666123,marketing@bhardwajhospitalnoida.com,Yes
Bhardwaj Hospital,BARAUT ROAD  BUDHANA   MUZZAFFARNAGAR  UTTAR PRADESH  251309,,Uttar Pradesh,Muzaffarnagar,8979633632,,No
Bhargava Hospital,# 15 / 263  Civil Lines  Kanpur,,Uttar Pradesh,Kanpur,0512 - 23044500 / 2330333 / 2304500/2304700,bhargavahospital@yahoo.co.in,No
Bhargava Medical And Trauma Centre,"30-E  ""O"" Block  Kidwai Nagar",,Uttar Pradesh,Kanpur,0512 - 2600580 / 8932889900 / 8934889900,bmtcknp@gmail.com,No
Bharthi Heart And Maternity Hospital,No.3 E.V.N Road Surampatty Mal Road,,Tamil Nadu,Erode,424-2277001,rsubramaniancardio@yahoo.com,No
Bharti Eye Foundation,1/3 East Patel Nagar,,Delhi,New Delhi,011 - 25889900 / 25885533,foundation.bhartieye@gmail.com,Yes
Bharti Eye Hospital,E-52  Greater Kailash-I,,Delhi,New Delhi,011 - 29243937 / 29242784,info@bhartieye.com,Yes
Bharti Multispeciality Hospital,Anmol Sankalp Apartment,,Maharashtra,Kharghar,8006861111,TPABHARTIMULTISPECIALITYHOS@GMAIL.COM,No
Bharuch Orthopaedic Hospital,CORPORATE HOUSE  OPP.CHILD CARE HOSPITAL,,Gujarat,Bharuch,243801,BHARUCHORTHOPAEDICHOSPITAL@GMAIL.COM,No
Bhatia Global Hospital And Endo Surgery Institute,305-307-308 Ambica Vihar   Opp Central School   Paschim Vihar,,Delhi,New Delhi,011 - 25270701 / 25270702 / 25270500,accounts@bhatiaglobalhospital.com,Yes
Bhatia Hospital,A-25   Ramgarh Colony  G T Karnal Highway,,Delhi,New Delhi,011 - 27632266 / 27635466,bhatiahospital27@yahoo.co.in,No
Bhatia Nursing Home,Mohan Road  Punjabi Bada  Near Gupta Hoterl  Ballabhgarh,,Haryana,BALLABHGARH,0129 - 2246867 / 2241202 / 2246864 / 9811083920,bhatia.nursing.home@gmail.com,Yes
Bhatia Orthopaedic And Maternity Nursing Home,390  Sector 7b,,Haryana,Faridabad,0129 - 2243152 / 2240322,ortho390@gmail.com,Yes
Bhatnagar Eye Care Centre,Opp.Civil Hospital,,Haryana,Karnal,2207169,CONSULTANTSEYE@GMAIL.COM,No
Bhattacharyya Orthopaedics And Related Research Centre,NARAYANPUR RAJARHAT GOPALPUR,,West Bengal,Kolkata,25732597,,Yes
Bhavans Sarada Devi Hospital,30-265-60/41A  Opposite to Bharath Petrol Bunk ,,Telangana,Hyderabad,040-27113980,HEALTHINSURANCEBSDH@GMAIL.COM,Yes
Bhavika Nursing Home,7-1-212/5  shiv bagh  ameerpet  hyderabad,,Telangana,Hyderabad,23755528,bhavikahospital@gmail.com,Yes
Bhavnagar Institute Of Medical Sciences,OPP.SIR T.HOSPITAL NEAR CHARAN BOARDING JAIL ROAD BHAVNAGAR,,Gujarat,Bhavnagar,,,No
Bhavsar Nursing Home,Shop No 27 - 31  Ground Floor  Ski city  Opp Bhandup Police Station  Lake Road  Bhandup (W),,Maharashtra,Mumbai,25949445,BHAVSARHOSPITALTPA@GMAIL.COM,Yes
Bhavya Nursing Home,GANDHI ROAD  PRODDATUR ,,Andhra Pradesh,Kadapa,245533,BHAVYANURSINGHOME@GMAIL.COM,No
Bhim Nursing Home,Handiaya Bazar,,Punjab,BARNALA,01679 - 230667 / 329767 / 9815060668,geetubnl@hotmail.com,No
Bhimavaram Hospitals Ltd,J.P.Road  Bhimavaram  Bhimavaram,,Andhra Pradesh,West Godavari,08816 - 221111,bvrmhospitals@gmail.com,No
Bhimseria Eye And Maternity Centre,Vidhan Sabha  Road  Amaseoni,,Chattisgarh,Raipur,8962293837,BHIMSERIAHOSPITAL@GMAIL.COM,No
Bhoomika Eye Hospital- Jajpur Road,Plot No-1510 Laxmi Vihar Nahaka Chhaka  Jajpur Road,,Odisha,Jajpur,9875337194,BHOOMIKLALIT@GMAIL.COM,No
Bhopal Care Hospital,31 Noor Mahal Road  Choki Imambada Bhopal,,Madhya Pradesh,Bhopal,,bchbpl@gmail.com,No
Bhopal Care Hospital & Multi Speciality Hospital,E-8  (Near 12 no bus stop)  Arera Colony ,,Madhya Pradesh,Bhopal,0,,No
Bhopal Fracture Hospital,E-3/01   A  Arera Colony  Bhopal,,Madhya Pradesh,Bhopal,0755 - 2463400 / 4241400 / 2469300,BHOPALFRACTUREHOSPITAL1999@YAHOO.COM,No
Bhopal Multispeciality Hospital**,1 7  Indra Vihar Colony  Airport Road,,Madhya Pradesh,Bhopal,,,No
Bhoruka Netralaya,Behind Akashvani Kesaratagi Road,,Karnataka,Kalaburagi,,,No
"Bhrc-Dr.Shroff""s Eye Care Institute",MATHURA- VRINDABAN ROAD  VRINDABAN,,Uttar Pradesh,Vrindavan,5652442020,,No
Bhs Lakeview Hospital Super Speciality Hospital,CTS NO. 5653/170-20 MAHATMA PULE ROAD,,Karnataka,Belgaum,2403333,HEARTLAKEVIEW@GMAIL.COM,No
Bhuvika Medicare,B 194 A   LOHIA NAGAR. GHAZIABAD --201001,,Uttar Pradesh,Ghaziabad,4578828,TPA.BHUVIKAM@GMAIL.COM,No
Biala Orthopaedic And Multi Speciality Hospital,54- A  Hukum Singh Road  Bhavan's S L Public School Lane  Amritsar,,Punjab,Amritsar,2271924,bialahospital@gmail.com,Yes
Bidhan Niramoy,B-120  Aldrin Path  Sec-2b.Bidhannagar,,West Bengal,Durgapur,0343 - 2537083,bidhanniramoy@yahoo.co.in,No
Big Hospital,Sheetla Mandir Road  Chhoti Pahari,,Bihar,Patna,7131415,BIGHOSPITALTPA@GMAIL.COM,No
Bilal Hospital & Icu,ROYAL GARDEN A-WING N,,Maharashtra,Thane,25351500 / 9699911101 / 9867934366,TPABILALHOSPITAL@GMAIL.COM,Yes
Billroth Hospital,No.43  Lakshmi Talkies Road  Shenoy Nagar,,Tamil Nadu,Chennai,044 - 26641777,billrothhospital@gmail.com,Yes
Billroth Hospital,52  Second Main Road  Raja Annamalaipuram,,Tamil Nadu,Chennai,044 - 24631036/ 04424641111,billrothrapuram@gmail.com,Yes
Bimla Devi Hospital,Plot No - 5  Pocket B  Mayur Vihar Phase - Ii,,Delhi,New Delhi,011 - 22788989,bdh.hospital@gmail.com,Yes
Bimr Hospitals,Surya Mandir Road  Residency,,Madhya Pradesh,Gwalior,751-2405702/2405613/17,hospitalbimradm2@gmail.com,No
Bims Hospital,Shrachi Renaissance Township  Nawabhat Bus stand  Purba Bardhaman,,West Bengal,Burdwan,0,0,No
Bina Eye Care Centre,11/B  Sampartrao Colony,,Gujarat,Vadodara,265-2340231,binacliniceyecarecentre@gmail.com,No
Binayak Multispeciality Hospital,59 Kali Charan Ghosh Road  Kolkata,,West Bengal,Kolkata,033 - 25329950 / 51,binayakhealthworld@yahoo.co.in,Yes
Bindu Basini Nursing Home,76  Madhusudan Banerjee Rd.Birati.  Birati,,West Bengal,Kolkata,033 - 25393892,gdsrds@vsnl.net,Yes
Birla Eye Hospital And Lasik Centre,2nd floor riddhi park near rajiv gandhi bhavan sharampur road  nashik,,Maharashtra,Nashik,2310314,BIRLAEYEHOSPITAL@GMAIL.COM,No
Bishnupur Multispecialty Hospital,Bishnupur  Begusarai,,Bihar,Begusarai,222849,BMHOSPITALTPA@GMAIL.COM,No
Bishop Benziger Hospital,P.B.No. 515 Beach Road,,Kerala,Kollam,0474 - 2768201,bishopbenzihosp.ins@gmail.com,No
Bishop Vayalil Medical Centre,Moolamattom P.O Idukki  Kottayam,,Kerala,Kottayam,252305/06,BVMCINSURENCE@GMAIL.COM,No
Bkg Malda Eye Hospital,MOKDOMPUR  MALDA,,West Bengal,Malda,9434056307/03512-256307,BKG.RSBY@GMAIL.COM,No
Bklw Walawalkav Hospital,Shreekshetra Devvan,,Maharashtra,Chiplun,2355-264149/ 264137,info@walawalkarhospital.com,No
Bloom Healthcare,No 32  Taramani Link Road  Velachery,,Tamil Nadu,Chennai,44-42640865 / 66,insurance@bloomhealthcare.in,No
Blossoms Childrens Hospital,13-5-97 OLD CLUB ROAD KOTHAPET GUNTUR,,Andhra Pradesh,Guntur,8632222335,,No
Blossoms Mother And Child Hospital,D no 36-8-45water Tank Road Sikhamani Centre,,Andhra Pradesh,Vijayawada,9999999999,,No
Blossoms Superspecialities,2  KHANDARI QUARTERS   AGRA   PINCODE-282002,,Uttar Pradesh,Agra,7500293777,,No
Blue Line Hospital Pvt Ltd,mohanty pada  infront of incomtax colony  cuttack,,Odisha,Cuttack,6559541,suva071995@gmail.com,No
Blue Modern Hospital,NO 75B MUNICHALAI ROAD,,Tamil Nadu,Madurai,"2626126, 9942210060",,No
Blue Wheel Hospital,Plot No. 228/237  Sec-A Zone B,,Odisha,Bhubaneswar,7196600,INFO@BLUEWHEELHOSPITAL.ORG,No
BMRC Hospitals Limited,6/6-B.T. Road  Talpukur,,West Bengal,BARRACKPORE,033 - 25014947 / 4027,bmrchospital@yahoo.in,Yes
Bmri Hospital Pvt Ltd,8a-Diamondhurber Rd. Thakurpukur  Thakurpukur,,West Bengal,Kolkata,033 - 24534078 / 79,himadricbmri@gmail.com,Yes
Bobade Accident Hospital,Indapur Road  Opp Market Yard  Baramati,,Maharashtra,Baramati,02112 - 222081,drsmbobade@gmail.com,No
Bodyline Hospitals,Nava Vikas Gruh Road  B/S Dev Status  Opp. Annapurna Hall  Paldi  Ahmedabad,,Gujarat,Ahmedabad,079 - 26640505 / 65242322,kidneyline@gmail.com,Yes
Bohra Speciality Hospital And Trauma Centre,Shamli   Distt M Nagar,,Uttar Pradesh,Shamli,01398 - 250602 / 9837783966,bohrahealthcare@gmail.com,No
Bombay Hospital,Ida Scheme No 94/95  Ring Road  Indore - 452010,,Madhya Pradesh,Indore,0731 - 2575811 / 4771111,bombay.hospital.indore@gmail.com,Yes
Bombay Hospital And Medical Research Centre,Gole Bazar  On Katni Road,,Madhya Pradesh,Jabalpur,2412202,bhrcjbp@hotmail.com,No
Bombay Hospital Trust,12  New Marine Lines  Mumbai,,Maharashtra,Mumbai,022 - 22067676,bhtmktg@gmail.com,Yes
Bombay Maternity And Surgical Hospital,4th floor atlanta shopping mall vip road althan bhimrad canal road,,Gujarat,Surat,0261-6555633,,No
Bombay Nursing Home,Ellamma Gutta Cross Road  Ellamma Gutta Road  Hyd Road,,Telangana,Nizamabad,08462 - 234585,drnarendrabnh@yahoo.com,No
Bombay Spine Centre Unnati Hospital,OM TOWERS  S V RD  KANDIVALI [ W ],,Maharashtra,Kandivali,28068622/28068623,unnatihospitalkw@gmail.com,Yes
Booma Nursing Home,20 Gokhale Road Chinna Chokkikulam Madurai,,Tamil Nadu,Madurai,2530604,,No
Bopal Icu And Trauma Centre,17-26  3rd floor  amrapali axiom  nr.bopal junction  ambali,,Gujarat,Ahmedabad,0,,Yes
Bragathi Hospital,NO.336  CHINNASWAMY NAIDU STREET  NEW SIDDHAPUDUR.,,Tamil Nadu,Coimbatore,9750600500,bragathihospital@gmail.com,Yes
Brahm Chaitanya Superspeciality Hospital Pvt Ltd.,Bhoir Colony  Chinchwad,,Maharashtra,Pune,20-65000021/22/24/25,CHAITANYA.SUPERSPECIALITY@GMAIL.COM,Yes
Brahm Shakti Hospital & Research Centre,U-1/78  Budh Vihar Colony  Budh Vihar  Delhi,,Delhi,New Delhi,011 - 27531683 / 27537967 / 27537894,brahmshaktihospital@gmail.com,Yes
Brahm Shakti Sanjivani Hospital,Delhi Rothak Road  Dist-Jhajjar  Bahadurgarh,,Haryana,Bahadurgarh,01276 - 236666 / 231336,sanjivanibahadurgarh@gmail.com,No
Brahmananda Narayana Hrudayalaya,Tamolia (Dist. Seraikela-Kharsawan)  Bnh More,,Jharkhand,Jamshedpur,657-3984000,gulshan.parveen@nhhospitals.org,No
Brahmand Multispeciality Hospital,1  Hiranandani Estate,,Maharashtra,Thane,9821012046,TPA.BRAHMANDHOSPITAL@GMAIL.COM,No
Brahmaputra Diagnostic And Hospital Ltd,Paltan Bazar  Jalan Nagar  Dibrugarh   Paltan Bazar  Jalan Nagar  Dibrugarh,,Assam,Dibrugarh,0373 - 2303476-85,brahmaputra2302680@gmail.com,No
Brain And Spine Hospitals Pvt Ltd,BVL TOWERS NO-42  1ST MAIN ROAD CIT NAGAR(WEST),,Tamil Nadu,Chennai,44-49151111,info@brainspinehospitals.com,Yes
Brar Eye Hospital,NEAR ROSE GARDEN CHOWK ,,Punjab,Bathinda,2221150,info@brareyehospital.org,No
Breach Candy Hospital Trust,60 -A Bhulabhai Desai Road  Mumbai,,Maharashtra,Mumbai,022 - 23667788 / 23671888 / 23672888,tpa@breachcandyhospital.org,No
Brij Medical Centre Pvt Ltd,94  E-Block  Panki  Kanpur,,Uttar Pradesh,Kanpur,0512 - 2262150 / 2262861 / 2263399,mail@bmchospital.in,No
Brij Nursing Home,National Highway Kosi Kalan,,Uttar Pradesh,Mathura,5662-233673,,No
"Brijesh Banger Memorial Hospital, Bhilwara",R C Vyas Colony  behind Rajiv Gandhi Auditorium,,Rajasthan,Bhilwara,297501,BBMHBHL@GMAIL.COM,No
Brijesh Hospital,near axis bank  shivlalpur chauraha  ramnagar  nainital  uttarakhand,,Uttarakhand,Ramnagar,253492,,No
Brijlal Hospital And Research Centre Pvt Ltd,Anandi Tower  Nainital Road,,Uttarakhand,Haldwani,05946 - 284816/9837811111,tpa@brijlalhospital.org,No
Brijraj Hospital,Tehseenganj Crossing  Hardoi Road  Lucknow,,Uttar Pradesh,Lucknow,0522 - 2257746,brajrajhospital@gmail.com,No
Brinda Hospital,#4  5TH BLOCK 2ND STAGE BEHIND KLE SCHOOL NEAR BDA COMPLEX NAGARBHAVI,,Karnataka,Bengaluru,23810101,brindahospital@gmail.com,No
Brinda Neuro Centre,12-23-33&34 PUVVADAVARI STREET KOTHAPET,,Andhra Pradesh,Guntur,0,,No
Brindavan Hospital,No.64 & 64/1  3rd Cross  Jayalakshmipuram,,Karnataka,Mysore,4000872,BRINDAVANHOSPITAL.MYSORE@GMAIL.COM,No
Brindavan Hospital,House Number 5-6-111  Near Teja Hospital  Behind SSK Hospital ,,Telangana,Nizamabad,233444,brindavanhospitaltpa@gmail.com,No
Brindhavan Areion Hospital,#17  4TH MAIN ROAD CHAMRAJPET,,Karnataka,Bengaluru,26267700,AREIONHOSPITALS@GMAIL.COM,Yes
Bristlecone Hospitals (A Unit Of Virinchi Limited),Plot No: 5&9  Padmavathi Nagar Colony ,,Telangana,Hyderabad,24112233,chandrasekhar@bristleconehospital.com,Yes
"Bristlecone Hospitals, Barkatpura (A unit of Virinchi hospitals)",3-4-136/A  Street No. 6  Near Barkatpura Chaman,,Telangana,Hyderabad,040-45999999,kmadhu1057@gmail.com,Yes
Brj Ortho Centre And Mak Hospital,2-1  Rajunagar  Fertilizer Company  Mtp Main Road,,Tamil Nadu,Coimbatore,0422-2433301/302,BRJORTHOCENTRE.K@GMAIL.COM,Yes
Brookefield Hospital,521/522. Itpl Main Road Vijayalakshmi Square,,Karnataka,Bengaluru,80-42445555/ 66/ 23,insurance@brookefieldhospital.com,No
Brundavan Nursing Home,Rajavari Centre  Machlipatnam,,Andhra Pradesh,Krishna,08672 - 222295,drbkk@yahoo.com,No
Bses Mg Hospital,S.V.Road  Opp.Railway Station  Andheri(W)  Mumbai,,Maharashtra,Mumbai,022 - 66487500 / 09322721619,bses-tpa@ghrc-bk.org,No
Bsr Ent Nursing Home,1-2-17/23  S.D Raod,,Telangana,Hyderabad,040 - 27848166 / 40200130 / 4002081010,drbsraoent@yahoo.com,Yes
Bss Hospital,No. 200  Ramakrishna Nutt Road Mandaveli,,Tamil Nadu,Chennai,44-24615747/ 24939323,hospitalbss@yahoo.com,Yes
Buddha Cancer Centre,Jagdeo Nagar Rupaspur Nahar Par .North Side of  Nahar Chowk Bailey Road Patna,,Bihar,Patna,9470000258,,No
Buddha Eye Care And Laser Centre,Jagdevan Plaza  Kankarbagh Colony  Near Urvashi Sales,,Bihar,Patna,0612 - 6526863,buddhaeyecare@gmail.com,No
Buddha Hospital And Research Institute,Kali Mandir Road,,Bihar,Patna,612-2350116,,No
Buddudu Orthopeadic Hospital,Debichowk  Rajahmundry,,Andhra Pradesh,Rajahmundry,0883 - 2473603,buddhudu2000@yahoo.com,No
C A Hospital,Desom,,Kerala,Aluva,0484 2604887/2607132,CAHOSPITAL@YAHOO.COM,No
C B L Memorial Holy Family Hospital,42 52 53 Ashok Vihar  Behind Petrol Pump  Ambabari Bridge  Jhotwara Road,,Rajasthan,Jaipur,2338686,CBLMHFH@GMAIL.COM,Yes
C C Shroff Memorial Hospital,3-4-801  Barkatpura,,Telangana,Hyderabad,040 - 27566666,shroffhospital@sify.com,Yes
C K Hospital,No-41  Balasubbarayalu Street  Near Fire Station  Erode Market,,Tamil Nadu,Erode,2262728/2269635,sarascins@rediffmail.com,Yes
C M C Hospital,Delhi Road  Hisar,,Haryana,Hisar,01662 - 237476 / 226720,cmchospitalhisar@hotmail.com,No
C M Patel Hospital,e-7  100 foot road   east jyoti nagar ext  shahdara,,Delhi,New Delhi,11-22810465,,Yes
C S I Lombard Memorial Hospital,Chitpady,,Karnataka,Udupi,0820 - 2527455 / 2520334 / 2520384,csi.lmh@gmail.com,No
C S I Rainy Multi Speciality Hospital,45  G.A.Road  Chennai,,Tamil Nadu,Chennai,044 - 25957668,cghs@csirainyhospital.com,No
C S N Eye Hospital Pvt Ltd,101 & 102  Kundan Complex  Old Byepass Road  Kankarbagh Colony,,Bihar,Patna,0612 - 2348134,csnihospital@rediffmail.com,No
C.B.R.Kurnool Ramesh Hospital,D-MART COMPOUND RAGAMAYURI PRIDE COMPLEX,,Andhra Pradesh,Kurnool,,,No
C.L. Gupta Eye Institute,Ram ganga Vihar ,,Uttar Pradesh,Moradabad,2477800,,No
Calcium Hospital,Plot No 9  Opp Akshra School  ASR Raju Nagar  Road No 3 ,,Telangana,Hyderabad,040-23890662,calciumhospital@gmail.com,Yes
Calcutta Heart Clinic And Hospital,HC-4  Sec-III  Bidhannagar,,West Bengal,Kolkata,23585735/23587885/9674941565,SANJIBDAS.CALCUTTAHEARTCLINIC@GMAIL.COM,Yes
Calcutta Lions Netra Niketan,18/2/A/2  Uday Sankar Sarani  Golf Green,,West Bengal,Kolkata,033 - 24224637 / 24735009,Netraniketan@yahoo.co.in,Yes
Campal Health,GROUND FLOOR  COMPAL CLINIC BUILDING  NEAR BAL BHAVAN  OPP. PARADE GROUND  COMPAL  PANAJI.,,Goa,Panaji,2222111,campalclinic@gmail.com,No
Candy Childrens Hospital Pvt Ltd,8-1-351/8  Shaikpet  Tolichowki To Gachibowli Hyd-500008,,Telangana,Hyderabad,8885103737,CANDYCHILDRENSHOSPITAL@GMAIL.COM,No
Capital Clinic And Nursing Home,136  PADUMBASAN TAMLUK PURBA MEDINIPUR,,West Bengal,TAMLUK,9434517721,CAPITALNH.MEDICLAIM@GMAIL.COM,No
